group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
canonical_decode,tiny_0_247,bijou64,2457.1,2489.1,2496.8,2515.3,2575.8,2462.0,22.1,2459.0,2465.1,27.5,0.0090,2393.3,2590.7
canonical_decode,tiny_0_247,leb128,15944.6,17129.8,17733.9,18274.2,18809.3,16006.6,834.3,15893.6,16124.7,976.7,0.0521,14602.9,18833.2
canonical_decode,tiny_0_247,varu64,4960.6,5005.1,5024.4,5064.9,5083.9,4960.8,37.0,4955.7,4965.9,41.1,0.0075,4844.4,5085.8
canonical_decode,tiny_0_247,vu128,21691.2,21953.0,22075.8,22184.3,22315.8,21702.6,211.6,21673.5,21731.7,247.5,0.0098,20935.8,22324.1
canonical_decode,tiny_0_247,vu64,17972.4,18490.3,18591.5,18812.2,19174.3,17970.5,403.3,17914.5,18025.9,486.9,0.0224,16822.6,19245.8
canonical_decode,small_248_65535,bijou64,5692.7,5747.9,5763.6,5899.0,5930.1,5697.7,50.4,5691.0,5704.8,48.7,0.0088,5570.1,5936.8
canonical_decode,small_248_65535,leb128,23298.1,24658.0,24884.6,25381.9,25740.8,23514.1,691.4,23419.8,23611.3,875.5,0.0294,22395.0,25796.8
canonical_decode,small_248_65535,varu64,9900.9,9984.6,10030.5,10139.9,10212.2,9907.3,73.8,9897.2,9917.6,85.9,0.0074,9681.0,10228.6
canonical_decode,small_248_65535,vu128,19894.6,20114.5,20165.5,20489.0,20718.8,19910.9,188.3,19885.1,19937.2,213.0,0.0095,19246.7,20732.4
canonical_decode,small_248_65535,vu64,12922.9,13592.2,13847.7,14119.7,14276.0,13015.6,414.4,12958.9,13073.7,528.1,0.0318,12271.2,14289.5
canonical_decode,medium_64k_4G,bijou64,5687.6,5738.1,5756.3,5826.6,5917.5,5691.0,44.5,5685.0,5697.3,51.6,0.0078,5560.3,5933.5
canonical_decode,medium_64k_4G,leb128,28078.7,28337.0,28415.2,28643.6,28922.9,28078.1,223.6,28047.3,28109.2,263.1,0.0080,27470.9,28950.9
canonical_decode,medium_64k_4G,varu64,16182.4,16346.1,16393.5,16542.4,16776.2,16189.2,138.3,16170.3,16208.3,129.1,0.0085,15761.3,16785.4
canonical_decode,medium_64k_4G,vu128,14558.4,14679.1,14730.8,14879.1,15110.7,14561.9,111.3,14546.7,14577.5,111.6,0.0076,14266.1,15159.1
canonical_decode,medium_64k_4G,vu64,14418.0,14522.6,14577.7,14757.3,14837.1,14422.0,105.6,14407.4,14436.6,105.9,0.0073,14075.7,14849.3
canonical_decode,large_above_4G,bijou64,6322.7,6391.9,6414.7,6501.1,6518.4,6318.9,61.4,6310.5,6327.4,80.2,0.0097,6170.2,6518.6
canonical_decode,large_above_4G,leb128,55170.8,55711.2,55887.1,56336.7,57260.5,55146.3,511.2,55075.3,55217.2,564.8,0.0093,53003.9,57447.3
canonical_decode,large_above_4G,varu64,22242.9,22516.9,22618.6,22993.4,23283.1,22275.1,206.2,22247.1,22304.4,164.1,0.0093,21690.3,23326.2
canonical_decode,large_above_4G,vu128,13590.6,13706.9,13773.4,13971.8,14061.3,13597.3,110.7,13582.3,13612.8,101.6,0.0081,13220.7,14074.6
canonical_decode,large_above_4G,vu64,8785.3,8856.6,8879.2,9000.5,9082.7,8782.1,73.6,8772.1,8792.4,79.8,0.0084,8547.1,9090.5
canonical_decode,boundary,bijou64,7461.6,7536.5,7551.9,7637.1,7683.7,7458.3,65.6,7449.3,7467.4,84.3,0.0088,7283.1,7691.2
canonical_decode,boundary,leb128,26816.2,27064.4,27106.5,27668.2,30163.1,26833.5,372.1,26786.8,26890.1,207.0,0.0139,25591.0,30781.9
canonical_decode,boundary,varu64,19055.3,19248.4,19308.4,19483.5,19628.2,19043.5,180.4,19018.5,19068.4,226.8,0.0095,18471.7,19630.8
canonical_decode,boundary,vu128,15736.9,15863.2,15929.3,16095.0,16348.2,15726.6,151.4,15705.5,15747.4,145.9,0.0096,15051.7,16385.8
canonical_decode,boundary,vu64,11242.3,11358.9,11389.3,11494.1,11747.2,11246.0,98.7,11232.6,11259.9,122.8,0.0088,11000.3,11798.9
canonical_decode,uniform_random,bijou64,6272.8,6339.5,6354.7,6493.2,6556.3,6276.4,57.2,6268.6,6284.5,61.6,0.0091,6130.7,6559.5
canonical_decode,uniform_random,leb128,54601.5,55115.4,55238.0,55679.3,56219.7,54567.9,508.3,54496.4,54637.2,621.6,0.0093,52209.7,56350.6
canonical_decode,uniform_random,varu64,22230.9,22435.4,22484.6,22831.0,23200.4,22237.7,191.9,22211.5,22264.3,215.4,0.0086,21611.8,23250.0
canonical_decode,uniform_random,vu128,13588.7,13696.7,13734.8,13962.9,14229.0,13589.0,117.6,13573.1,13605.7,112.7,0.0087,13278.5,14290.8
canonical_decode,uniform_random,vu64,8751.7,8833.2,8859.5,8924.6,8929.9,8751.4,64.9,8742.4,8760.4,73.9,0.0074,8537.7,8931.0
decode,tiny_0_247,bijou64,2474.0,2491.8,2502.0,2512.9,2529.7,2473.7,16.7,2471.4,2476.0,19.1,0.0068,2412.4,2533.1
decode,tiny_0_247,leb128,6892.3,8270.0,8610.4,9056.4,9955.3,7052.7,838.9,6938.2,7170.3,1138.0,0.1189,5799.5,10106.0
decode,tiny_0_247,varu64,4937.0,4985.6,5014.5,5068.9,5123.4,4939.8,41.2,4934.2,4945.6,52.8,0.0083,4816.0,5127.9
decode,tiny_0_247,vu128,20967.6,21127.3,21199.7,21321.3,21434.4,20956.1,162.2,20933.6,20978.6,198.4,0.0077,20493.0,21454.9
decode,tiny_0_247,vu64,17818.4,18445.9,18744.1,19772.4,20345.2,17887.9,461.2,17826.3,17953.4,444.4,0.0258,17147.5,20457.1
decode,small_248_65535,bijou64,5669.8,5730.9,5747.4,5771.9,5838.1,5668.7,51.4,5661.6,5675.8,77.8,0.0091,5542.4,5850.9
decode,small_248_65535,leb128,13268.1,15009.9,15197.0,15510.0,15699.2,13546.6,894.2,13425.0,13671.3,1506.2,0.0660,12431.1,15726.8
decode,small_248_65535,varu64,9846.9,9947.7,9975.2,10069.9,10093.0,9853.5,75.0,9843.2,9864.0,91.8,0.0076,9669.3,10095.1
decode,small_248_65535,vu128,13959.5,14228.2,14367.2,14586.5,14694.9,13992.9,191.9,13967.0,14020.0,220.4,0.0137,13577.2,14719.9
decode,small_248_65535,vu64,12959.7,13462.9,13584.8,13826.3,14142.6,13020.1,314.6,12977.2,13064.2,457.0,0.0242,12377.4,14169.3
decode,medium_64k_4G,bijou64,5665.1,5730.2,5742.8,5925.4,6133.6,5674.5,61.8,5666.5,5683.6,51.3,0.0109,5553.3,6166.7
decode,medium_64k_4G,leb128,15792.6,15974.5,16022.7,16128.4,16271.2,15787.5,165.9,15764.3,15810.1,185.7,0.0105,15060.1,16303.4
decode,medium_64k_4G,varu64,16065.4,16246.8,16338.1,16547.2,17411.8,16087.1,174.7,16064.3,16112.5,147.7,0.0109,15555.9,17619.0
decode,medium_64k_4G,vu128,10447.1,10569.7,10636.2,10694.0,10767.9,10462.3,83.0,10451.0,10474.1,92.1,0.0079,10262.2,10783.8
