group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
canonical_decode,tiny_0_247,bijou64,1828.3,1871.2,1889.2,1958.2,2677.8,1840.4,79.5,1831.4,1853.0,28.0,0.0432,1731.8,2790.1
canonical_decode,tiny_0_247,leb128,8401.1,8659.5,8720.5,9335.1,10994.6,8483.3,271.3,8450.3,8524.7,208.5,0.0320,8231.4,11170.5
canonical_decode,tiny_0_247,varu64,6138.0,6399.8,6537.4,6813.4,8173.6,6167.5,275.4,6130.9,6207.4,170.3,0.0447,5392.0,8510.5
canonical_decode,tiny_0_247,vu128,11815.7,12209.0,12421.8,13077.2,13635.6,11861.4,344.2,11815.5,11910.5,275.5,0.0290,11094.0,13647.7
canonical_decode,tiny_0_247,vu64,9069.5,9304.4,9547.8,10845.9,12896.3,9129.9,410.1,9080.1,9192.7,186.1,0.0449,8630.2,13371.4
canonical_decode,small_248_65535,bijou64,4163.9,4238.2,4262.0,4290.7,4391.5,4175.2,44.9,4169.1,4181.5,54.2,0.0108,4106.0,4410.8
canonical_decode,small_248_65535,leb128,18444.3,18771.4,18944.5,23251.6,26440.1,18577.0,815.9,18480.7,18704.5,158.2,0.0439,17514.0,27071.7
canonical_decode,small_248_65535,varu64,8858.0,9322.9,9580.1,10960.3,13269.7,8915.7,574.1,8842.2,9000.6,367.8,0.0644,7994.3,13639.8
canonical_decode,small_248_65535,vu128,16282.7,16647.4,16782.5,17275.0,18551.0,16325.5,335.2,16281.5,16373.7,382.0,0.0205,15632.9,18634.9
canonical_decode,small_248_65535,vu64,13006.3,13734.5,14314.3,18174.3,24645.1,13276.7,1214.0,13130.2,13464.7,607.8,0.0914,12561.8,25883.5
canonical_decode,medium_64k_4G,bijou64,4074.2,4135.1,4155.9,4339.6,6404.1,4069.0,216.3,4045.4,4103.7,137.0,0.0532,3912.0,6774.2
canonical_decode,medium_64k_4G,leb128,26380.8,27306.6,28299.9,42555.7,47673.1,26888.0,2896.4,26525.9,27319.8,1016.1,0.1077,24140.5,48249.2
canonical_decode,medium_64k_4G,varu64,11940.4,12160.2,12271.6,12423.9,12825.4,11956.0,180.5,11931.4,11981.5,187.6,0.0151,11424.7,12895.8
canonical_decode,medium_64k_4G,vu128,12729.9,13083.5,13222.0,13448.2,14297.1,12771.7,269.6,12735.2,12809.8,242.7,0.0211,11951.7,14486.2
canonical_decode,medium_64k_4G,vu64,15885.9,16415.8,16975.1,18861.8,27131.1,16001.3,1099.6,15876.1,16175.4,550.8,0.0687,15321.2,29180.0
canonical_decode,large_above_4G,bijou64,3245.2,3293.6,3340.0,3452.8,3505.1,3235.1,65.7,3226.2,3244.4,87.0,0.0203,3059.5,3505.5
canonical_decode,large_above_4G,leb128,58743.9,59883.1,60351.6,61393.8,65559.1,58991.4,866.1,58880.5,59119.6,628.5,0.0147,57922.0,65968.0
canonical_decode,large_above_4G,varu64,19285.0,20200.2,20669.4,24461.9,28901.7,19524.5,1112.8,19386.5,19692.8,682.6,0.0570,18565.8,29320.0
canonical_decode,large_above_4G,vu128,9970.3,10238.0,10360.1,10702.3,10846.4,10023.7,180.3,9999.5,10049.3,196.0,0.0180,9768.1,10871.2
canonical_decode,large_above_4G,vu64,8144.9,8342.9,8454.0,8729.9,9197.2,8180.2,158.7,8159.3,8203.2,149.0,0.0194,7990.5,9248.8
canonical_decode,boundary,bijou64,3926.6,3991.6,4119.4,4972.4,6620.7,3969.1,251.2,3941.0,4009.0,40.7,0.0633,3840.3,6970.8
canonical_decode,boundary,leb128,23902.3,24469.0,24887.1,29316.9,37599.6,24140.7,1342.7,23984.4,24350.5,432.3,0.0556,23116.2,39184.6
canonical_decode,boundary,varu64,13541.3,14314.2,14677.3,15334.3,17240.7,13652.0,612.3,13570.1,13739.3,672.5,0.0448,12571.0,17601.2
