group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
canonical_decode,tiny_0_247,bijou64,2178.1,2316.8,2372.4,2468.1,2521.8,2192.0,96.8,2178.7,2205.4,123.9,0.0441,2014.8,2524.9
canonical_decode,tiny_0_247,leb128,10244.9,11151.6,11347.1,11998.3,13075.7,10157.7,831.2,10041.7,10273.0,1158.2,0.0818,8199.7,13239.3
canonical_decode,tiny_0_247,varu64,8326.9,9256.8,9386.3,9574.9,9957.9,8145.1,931.6,8014.8,8273.7,1544.5,0.1144,5623.7,10032.1
canonical_decode,tiny_0_247,vu128,13197.7,14305.1,14780.7,18067.8,24037.1,13434.3,1276.3,13275.1,13625.3,896.3,0.0950,11948.7,24549.8
canonical_decode,tiny_0_247,vu64,10928.4,11822.9,12105.3,13056.0,14642.8,10970.2,720.8,10873.5,11072.7,752.8,0.0657,9493.5,14959.0
canonical_decode,small_248_65535,bijou64,5323.7,5664.3,5810.3,6078.1,6126.9,5314.7,311.4,5271.6,5358.1,441.1,0.0586,4493.4,6137.0
canonical_decode,small_248_65535,leb128,21724.4,23419.7,23916.8,24571.2,26476.1,21859.5,1181.2,21698.1,22024.9,1323.4,0.0540,19008.4,26902.4
canonical_decode,small_248_65535,varu64,11457.5,12660.0,13091.2,14736.1,14881.8,11515.3,938.2,11388.2,11646.5,1262.4,0.0815,9662.0,14894.5
canonical_decode,small_248_65535,vu128,22724.2,24402.4,24930.0,26086.9,26835.2,22762.9,1267.8,22589.4,22938.4,1620.5,0.0557,19929.4,26960.9
canonical_decode,small_248_65535,vu64,16490.7,17537.1,17791.8,18745.2,20514.9,16460.1,893.2,16337.9,16585.6,1121.2,0.0543,14399.7,20742.4
canonical_decode,medium_64k_4G,bijou64,5032.2,5400.1,5468.2,5742.6,6194.8,5045.7,287.8,5006.1,5085.7,395.3,0.0570,4460.5,6272.2
canonical_decode,medium_64k_4G,leb128,29840.1,32466.0,33432.0,34654.7,37734.4,30233.1,1641.0,30011.7,30465.4,1757.0,0.0543,27137.8,38368.4
canonical_decode,medium_64k_4G,varu64,15381.6,16824.5,17288.5,21526.8,23905.7,15545.8,1352.5,15367.7,15741.5,1271.8,0.0870,13684.9,24468.0
canonical_decode,medium_64k_4G,vu128,17225.8,18551.5,18883.6,20310.2,21598.1,17333.7,1108.1,17182.2,17488.3,1394.6,0.0639,14661.2,21775.3
canonical_decode,medium_64k_4G,vu64,19463.4,20659.6,20977.8,22383.9,25767.5,19546.6,1034.1,19406.4,19693.0,1209.9,0.0529,17198.2,26395.9
canonical_decode,large_above_4G,bijou64,3963.2,4357.3,4466.8,4745.4,4991.7,4001.7,258.4,3966.4,4038.2,350.3,0.0646,3461.8,5021.3
canonical_decode,large_above_4G,leb128,64549.8,67359.0,68925.9,73644.1,79057.9,64714.0,2846.7,64327.0,65115.0,3340.1,0.0440,58514.1,80232.4
canonical_decode,large_above_4G,varu64,24567.0,26024.7,26257.1,26786.5,27259.9,24507.1,1142.2,24348.5,24665.0,1465.3,0.0466,21393.0,27369.5
canonical_decode,large_above_4G,vu128,13057.8,14156.9,14459.0,15364.4,16727.0,13071.9,852.7,12955.5,13190.8,962.0,0.0652,11162.3,17008.1
canonical_decode,large_above_4G,vu64,11237.0,12889.9,13407.4,14440.8,15879.0,11430.6,1167.0,11269.6,11591.9,1692.8,0.1021,9150.5,16000.0
canonical_decode,boundary,bijou64,4922.2,5312.7,5534.7,6114.4,6813.2,4971.3,325.3,4927.9,5017.7,335.4,0.0654,4456.9,6953.2
canonical_decode,boundary,leb128,27362.1,29127.0,29685.8,34259.6,44983.7,27529.5,2148.6,27255.0,27848.5,1742.9,0.0780,23661.4,47066.1
canonical_decode,boundary,varu64,17150.9,18488.3,18948.1,19876.1,20650.1,17170.8,1045.6,17028.0,17316.1,1259.0,0.0609,14796.9,20836.2
canonical_decode,boundary,vu128,14282.6,15549.9,15893.9,17001.8,17660.2,14302.8,963.7,14170.9,14436.1,1263.9,0.0674,12166.7,17819.8
canonical_decode,boundary,vu64,15229.7,16112.2,16520.0,16964.0,18796.6,15294.9,784.2,15187.6,15404.4,930.0,0.0513,13541.8,18851.1
canonical_decode,uniform_random,bijou64,3988.7,4274.8,4380.0,4555.4,4650.1,4000.3,216.0,3970.8,4030.3,299.7,0.0540,3601.1,4656.4
canonical_decode,uniform_random,leb128,65501.0,68179.8,69256.3,70356.2,73767.1,65556.3,2358.1,65230.6,65880.3,3387.4,0.0360,59497.5,74377.9
canonical_decode,uniform_random,varu64,24289.5,26038.5,26590.4,27457.6,28264.2,24282.2,1460.7,24080.1,24484.3,1887.8,0.0602,20636.7,28417.7
canonical_decode,uniform_random,vu128,13825.1,15031.6,15662.3,16899.6,18154.4,13842.7,1044.6,13698.9,13989.5,979.7,0.0755,10821.4,18415.0
canonical_decode,uniform_random,vu64,10880.3,12341.4,12803.4,13289.0,13508.7,10992.7,930.2,10865.4,11122.1,1207.5,0.0846,9249.6,13555.0
decode,tiny_0_247,bijou64,1994.8,2279.5,2328.2,2450.9,2635.4,2009.7,199.1,1982.4,2037.4,316.6,0.0991,1602.5,2659.4
decode,tiny_0_247,leb128,4212.3,4735.7,5008.8,5228.4,5335.5,4298.8,321.7,4255.2,4343.9,354.5,0.0748,3755.5,5337.6
decode,tiny_0_247,varu64,8308.5,9798.2,9956.3,10393.9,10507.2,8280.2,1080.8,8130.0,8429.5,1544.2,0.1305,5735.3,10532.6
decode,tiny_0_247,vu128,8801.7,9364.9,9501.7,9965.6,10412.1,8820.7,423.5,8762.4,8879.3,524.5,0.0480,7690.3,10467.0
decode,tiny_0_247,vu64,10636.6,11447.2,12027.0,12824.4,15251.4,10731.8,719.2,10635.7,10835.4,681.0,0.0670,9643.1,15720.4
decode,small_248_65535,bijou64,5876.0,6636.6,6879.9,7143.6,7434.6,5974.1,441.8,5913.8,6036.2,493.6,0.0740,5192.1,7501.4
decode,small_248_65535,leb128,10240.0,10823.5,10985.2,11268.3,11997.0,10202.8,565.0,10124.2,10280.5,711.4,0.0554,8558.5,12040.9
decode,small_248_65535,varu64,10413.7,11177.1,11462.4,12376.5,13719.5,10475.5,637.7,10389.6,10566.2,709.5,0.0609,9112.9,13978.8
decode,small_248_65535,vu128,10927.3,12797.9,13123.4,14180.4,14513.2,11204.5,932.6,11077.7,11336.1,955.6,0.0832,9834.9,14576.3
decode,small_248_65535,vu64,15272.0,16190.1,16618.5,17238.5,18678.3,15268.1,832.5,15153.6,15383.2,956.8,0.0545,13230.9,18962.1
decode,medium_64k_4G,bijou64,5893.5,6163.5,6294.8,7016.3,7909.3,5891.5,326.6,5848.0,5938.2,268.8,0.0554,5086.5,8053.0
decode,medium_64k_4G,leb128,13661.1,15268.3,18829.5,25912.0,26802.9,14213.1,2252.1,13920.7,14542.9,761.1,0.1585,12398.9,26969.1
decode,medium_64k_4G,varu64,15378.7,16454.7,16649.5,17604.9,17714.4,15392.7,872.4,15271.9,15512.4,1250.4,0.0567,13458.7,17725.9
decode,medium_64k_4G,vu128,12323.2,13509.9,13868.7,14619.8,15448.2,12410.5,843.4,12294.7,12528.1,1125.9,0.0680,10783.0,15620.9
decode,medium_64k_4G,vu64,18604.1,19706.3,20061.5,20748.4,21071.4,18652.2,792.7,18543.8,18762.8,907.7,0.0425,17103.8,21074.4
decode,large_above_4G,bijou64,4411.0,4740.0,4824.5,5162.5,5321.7,4427.5,251.9,4393.1,4462.7,281.4,0.0569,3821.6,5335.7
decode,large_above_4G,leb128,35691.8,38329.5,39166.3,40380.0,40891.2,35396.6,2550.4,35043.9,35749.3,4482.5,0.0721,30611.3,40898.5
decode,large_above_4G,varu64,22316.9,23351.9,23574.3,24834.4,26743.6,22331.9,871.3,22213.3,22454.1,876.0,0.0390,20294.6,26905.7
decode,large_above_4G,vu128,9631.0,10319.8,10542.9,11131.3,11424.0,9683.3,517.6,9612.3,9755.6,563.1,0.0535,8572.9,11495.1
decode,large_above_4G,vu64,9970.0,10630.8,10796.6,11514.7,11828.8,9981.2,534.2,9908.2,10054.8,700.3,0.0535,8802.8,11836.9
